年月日,平均気温(℃),降水量の合計(mm),平均風速(m/s),日照時間(時間),平均現地気圧(hPa)
2015/1/1,3.7,0,4.4,1.3,1000.4
2015/1/2,2.7,0,2.1,6,1007.4
2015/1/3,3.8,0,3,8.9,1012
2015/1/4,4,0,1.3,6,1010.4
2015/1/5,6.9,0,2.4,8.9,1014.6
2015/1/6,10.8,6.5,5.2,0.2,1000.6
2015/1/7,5.6,0,4.2,3.3,1000.5
2015/1/8,6.2,0,4.4,8.9,1006.2
2015/1/9,6.7,0,4.1,8.9,1008.2
2015/1/10,6.3,0,3.5,9.1,1008.8
2015/1/11,6.4,0,2.7,9.1,1008.7
2015/1/12,5.2,0,4.6,9.1,1016.3
2015/1/13,6.6,0,3.3,9.1,1024.9
2015/1/14,6.6,0,1.6,5.9,1023.9
2015/1/15,5.4,35.5,3.2,0,1009.7
2015/1/16,8.9,0,2.8,6.9,1009.7
2015/1/17,5.9,0,4.2,6.9,1004.9
2015/1/18,4.7,0,3.3,9.3,1014.6
2015/1/19,5.7,0,2.5,9,1008.8
2015/1/20,6.3,0,3.6,9.2,1018.9
2015/1/21,2.5,4,3.1,0,1024.3
2015/1/22,4.6,7.5,2.4,0,1009
2015/1/23,6.9,7.5,4.3,6.8,1004.1
2015/1/24,4.9,0,2.4,0.4,1018.3
2015/1/25,7,0,2,7.1,1024.3
2015/1/26,9,0.5,2,4.4,1019.1
2015/1/27,9.8,14.5,3.1,5.1,1007
2015/1/28,5.2,0,4,6.2,1014.7
2015/1/29,3.9,0,2.5,6.6,1023.4
2015/1/30,2.2,16.5,3.3,0,1013.9
2015/1/31,4.9,0,4.4,9.4,1008.8
2015/2/1,4,0,5.5,9.6,1016.5
2015/2/2,4.7,0,4.7,9.6,1018.8
2015/2/3,4.7,0,2.5,9.4,1019.2
2015/2/4,5.2,0,2.3,7.6,1017.2
2015/2/5,2.6,9,2.5,0,1011
2015/2/6,5.4,0,2.8,8.9,1013.4
2015/2/7,5.3,1.5,2.4,3.6,1019.2
2015/2/8,4,6,1.9,0.3,1007.4
2015/2/9,2,0,3.2,1.7,1007.3
2015/2/10,3.2,0,2.2,9.6,1008.3
2015/2/11,5.6,0,2,9.7,1009.1
2015/2/12,7,0,1.7,9.5,1001.6
2015/2/13,5,0,3.9,6.3,1000.5
2015/2/14,4.9,0,3.2,9.9,1009.1
2015/2/15,5.5,0,5,9.8,1009.9
2015/2/16,7,0,2.9,9.8,1011.1
2015/2/17,3.9,3,2.4,0,1010.4
2015/2/18,3.3,10.5,3.2,0,1005.6
2015/2/19,6.2,0,2.4,9.2,1008.3
2015/2/20,6.3,0,2.4,7.9,1018.3
2015/2/21,6.2,0,2.4,9.2,1025
2015/2/22,6.3,1.5,1.6,0,1020.1
2015/2/23,10.7,16,2.3,4.9,1007.8
2015/2/24,9.7,0,2,0,1010.2
2015/2/25,9.2,0,2.7,2.8,1016.1
2015/2/26,6.6,14.5,2.6,0,1014.5
2015/2/27,8.2,0,3.8,8.4,1006.1
2015/2/28,7.4,0,3.8,9.2,1021.1
2015/3/1,6.9,29,3.1,0,1010.2
2015/3/2,9.3,0,4.2,10.9,1008.2
2015/3/3,5.6,0.5,2.4,0,1016.3
2015/3/4,9.6,18.5,2.6,5.7,1001.9
2015/3/5,9.3,0,3.7,10.2,1012.6
2015/3/6,7.3,0,2.8,1.9,1021.2
2015/3/7,6,4.5,2.7,0,1020.9
2015/3/8,8.2,0.5,3.4,0,1018.8
2015/3/9,9,23,3,0,1010.7
2015/3/10,7.7,2.5,4.6,3.4,995.3
2015/3/11,6.2,0,3.6,11.1,1005.7
2015/3/12,8.6,0,3.9,10.9,1008.1
2015/3/13,8.9,0,3,10.6,1013
2015/3/14,8.9,0,2.6,6,1016.8
2015/3/15,8.4,0,1.9,3.3,1021.9
2015/3/16,11.1,10,1.9,3.2,1020
2015/3/17,14.5,0.5,2.6,10,1015.5
2015/3/18,14.8,0,2.2,4.3,1014.8
2015/3/19,11.9,5,2.1,0.6,1006.5
2015/3/20,11.8,0,2.3,0.6,1011.1
2015/3/21,10.5,0,2.6,1.9,1013.5
2015/3/22,12.9,0,3.2,9.8,1009.7
2015/3/23,10.7,0,2.9,7.3,1009
2015/3/24,8.2,0,4.6,10.8,1015.8
2015/3/25,8.1,0,5,11.8,1023.2
2015/3/26,9.5,0,3.9,11.8,1026.5
2015/3/27,12.3,0,3,11.9,1020.8
2015/3/28,14.1,0,2.7,8.2,1015.2
2015/3/29,14.6,0,3,5,1011.3
2015/3/30,16.2,0,3.1,11.5,1014.9
2015/3/31,16.7,0,4.7,11.5,1015
2015/4/1,13.9,1.5,2.6,0,1008
2015/4/2,11.6,0,3.8,11.1,1016.3
2015/4/3,17.3,0,6.4,0,1006.7
2015/4/4,13.2,0,3.5,0,1016
2015/4/5,10.3,8,1.5,0,1013.9
2015/4/6,16.2,0,2.1,7.9,1008.6
2015/4/7,10,4.5,3,0,1014
2015/4/8,4.1,20,3.5,0,1022.4
2015/4/9,7.4,0,2.6,8.7,1025.4
2015/4/10,8.3,9.5,2.7,0,1022.1
2015/4/11,11.5,7.5,2.8,0,1018.5
2015/4/12,12.9,0,2.5,8.3,1026.8
2015/4/13,9.7,36.5,3.2,0,1021.3
2015/4/14,12.1,22.5,2,0,1007.7
2015/4/15,15.4,2,4.7,10.2,1000.3
2015/4/16,15.7,0,2.5,9,1007.4
2015/4/17,16.4,3.5,3.2,5.8,1007.4
2015/4/18,14,0,4.2,11.1,1014.2
2015/4/19,14.3,0,1.5,0,1013.9
2015/4/20,18.4,10.5,5.3,0.2,1004.9
2015/4/21,17.5,0.5,3,0,1004.7
2015/4/22,15.7,2.5,2.6,4.8,1015.7
2015/4/23,18,0,2.5,11.6,1016.8
2015/4/24,18.3,0,4.2,6.8,1015.1
2015/4/25,17.2,0,2.7,6.5,1014.6
2015/4/26,17.8,0,3.3,12.4,1017
2015/4/27,19.3,0,2.9,12.3,1014.8
2015/4/28,20.8,0,2.8,10.8,1014.6
2015/4/29,19.4,0,3.3,7.5,1013.7
2015/4/30,19,0,2.4,4.5,1012.9
2015/5/1,20.5,0,2.4,12.2,1011.8
2015/5/2,21,0,2.7,12.3,1013.5
2015/5/3,21.2,0,2.9,8.2,1011
2015/5/4,21.6,0,5.4,7.4,1002.4
2015/5/5,18.3,0,3.8,6.8,1005.3
2015/5/6,18.2,0,3.2,9.4,1010
2015/5/7,19.1,0,2.1,3.2,1008.6
2015/5/8,20.7,0,2.6,10.6,1008.9
2015/5/9,18.7,0,2,0,1008.2
2015/5/10,19.7,0,3.5,10,1009.2
2015/5/11,17.2,0,3.8,11.6,1019
2015/5/12,19.6,58.5,6,1,1008.2
2015/5/13,22.5,0,3.7,11.5,1000.7
2015/5/14,23.1,0,3.2,10.2,1007
2015/5/15,22.7,0,3.4,8.8,1007.3
2015/5/16,20.9,3.5,2.6,0.1,1000.6
2015/5/17,22.2,0,3.1,10,1006.8
2015/5/18,21.5,3.5,3.6,4.8,1009.3
2015/5/19,20.2,4.5,1.9,0,1000.7
2015/5/20,22.2,0.5,2.8,7.9,998.7
2015/5/21,19.5,8.5,4,9.8,1004.1
2015/5/22,20.5,0,4.1,10.1,1010.5
2015/5/23,21.6,0,3,10.3,1009.3
2015/5/24,21,0,2.7,7.4,1005.9
2015/5/25,21.3,0,2.4,6.5,1007.1
2015/5/26,23.3,0,2.6,12.5,1005
2015/5/27,23.9,0,3.2,12.6,1007.2
2015/5/28,22.1,0,3.1,4.7,1011.6
2015/5/29,20.7,9,3,0,1007.1
2015/5/30,23.4,0,3.3,10.3,998.8
2015/5/31,25.7,0,2.6,10.4,1000.2
2015/6/1,23.6,0,3.5,10.7,1009.2
2015/6/2,23.5,0,4.1,8.4,1008.3
2015/6/3,21.7,16,2.4,0,998.1
2015/6/4,23.1,0,4.7,12.5,1001.2
2015/6/5,18.8,27,2.4,2.1,1007.3
2015/6/6,18,23.5,2.7,2.5,1006.1
2015/6/7,20.8,0,3.2,7.8,1016.1
2015/6/8,21,0.5,3.8,5.2,1014.7
2015/6/9,19.5,33,2.5,0,1001.3
2015/6/10,22.6,0,2.8,8.1,1005.6
2015/6/11,23,0,2.6,5.4,1007.2
2015/6/12,21.4,4.5,1.8,0.1,1002.4
2015/6/13,24,0,2.7,3.7,1006.7
2015/6/14,22.5,1.5,2.4,1.6,1007.4
2015/6/15,24.6,0,2.5,12.2,1005.4
2015/6/16,23.3,31,2.2,1.1,1002.8
2015/6/17,21.6,11,2.2,0.6,1003.8
2015/6/18,21.9,0,3,0.7,1008.3
2015/6/19,19.1,10.5,2.7,0,1005.9
2015/6/20,21.7,0,2.9,9.4,1006
2015/6/21,20.6,0.5,1.8,0.1,1007.8
2015/6/22,22.6,0,2.3,2.1,1009.4
2015/6/23,23.4,20,2.7,6.1,1009.3
2015/6/24,23.8,0,2.4,12.4,1007.7
2015/6/25,24.3,0,2.9,7.8,1005.8
2015/6/26,22.4,13,2.4,0.2,1002.4
2015/6/27,22.6,3,1.5,0,994.3
2015/6/28,23.2,0,2.7,8,998.4
2015/6/29,21.6,0,3.2,6.4,1007.1
2015/6/30,22.5,0.5,3.2,2.1,1002.8
2015/7/1,20.5,13.5,2.1,0,992.2
2015/7/2,22.5,2.5,1.9,0.2,999.1
2015/7/3,21.9,67.5,2,0,1003.1
2015/7/4,22.5,4,1.8,0,1005.7
2015/7/5,20.1,20,1.8,0,1008.6
2015/7/6,19.8,14.5,1.7,0,1010.1
2015/7/7,21.3,0,1.5,0,1010.6
2015/7/8,22.4,11,1.7,0.2,1012.1
2015/7/9,19.4,11,2,0,1013.7
2015/7/10,23.2,0.5,2.1,9.1,1012.3
2015/7/11,25.9,0,2.8,11.5,1009.8
2015/7/12,27.2,0,2.7,12.6,1006.9
2015/7/13,29.4,0,5,11.5,1003.5
2015/7/14,29.9,0,6.8,13.3,1002.8
2015/7/15,28.4,0,4.7,13,1005.6
2015/7/16,26.4,63.5,4.8,0.2,1004.5
2015/7/17,26.7,14.5,5.3,1.1,1005.1
2015/7/18,27.2,0.5,5.5,2.7,1006.7
2015/7/19,29.4,0,3.3,8.3,1009.1
2015/7/20,28.8,0,2.4,6.7,1010.6
2015/7/21,29.4,0,3.8,13.2,1009.3
2015/7/22,28.9,0,6.4,13.4,1008.6
2015/7/23,27,4.5,4.5,2.7,1006.9
2015/7/24,28.1,7,2,5.2,1007.2
2015/7/25,28.6,0,2.2,8.4,1006.5
2015/7/26,30.3,0,2.4,12.4,1007.3
2015/7/27,30.4,0,2.7,12.9,1004.4
2015/7/28,29.6,0,2.4,6.4,1003.1
2015/7/29,29.4,0,2.6,3.2,1004.8
2015/7/30,29.1,0,2.2,3.6,1006
2015/7/31,30,0,2.7,10,1006.7
2015/8/1,30.5,0,2.6,8.9,1007.6
2015/8/2,30.2,0,2.6,9.6,1009.2
2015/8/3,29.8,0,3.1,12,1008.7
2015/8/4,30,0,3.4,11.4,1007.4
2015/8/5,30.2,0,4.1,12.8,1007.4
2015/8/6,30.9,0,3,11.9,1009.8
2015/8/7,31.5,0,2.6,9.2,1011.6
2015/8/8,27.6,0,3.2,4.3,1011.6
2015/8/9,27.9,0,2.5,3.4,1008.4
2015/8/10,27.9,1,2.6,2,1006
2015/8/11,29.4,0,2.6,7.8,1003.1
2015/8/12,28.9,0,2.3,3,1002.5
2015/8/13,27.5,1,3,2.2,1000.4
2015/8/14,26.9,2,2.3,1.5,1000.6
2015/8/15,27.7,0,2.5,7.3,1004.8
2015/8/16,27.8,8,2.7,4.7,1006.7
2015/8/17,25.7,33.5,4,0.1,1005.5
2015/8/18,28.2,0,3.8,4.6,1005.3
2015/8/19,27.8,0,3,5,1009.7
2015/8/20,25.6,8,1.9,0,1007.9
2015/8/21,26,2.5,1.9,0.1,1003.8
2015/8/22,28.3,0,3.3,8.2,999
2015/8/23,26.7,0,3.3,4.2,1001.6
2015/8/24,24.3,0,3.3,2,1005.3
2015/8/25,21.5,0.5,3.3,0.1,1008.7
2015/8/26,19.5,35.5,3.3,0,1004.9
2015/8/27,23.6,0,2.4,1.3,1006.5
2015/8/28,21.7,3,2.7,0,1009.7
2015/8/29,20,2.5,2.4,0,1010.1
2015/8/30,21.2,3.5,1.8,0,1009.8
2015/8/31,22.1,2.5,1.7,0,1012
2015/9/1,23.7,12,2,0.3,1011.7
2015/9/2,26.9,5.5,5,6.1,1007.4
2015/9/3,25.7,1.5,2.6,1.5,1008.7
2015/9/4,24.7,14,2.5,6.3,1004.9
2015/9/5,25.4,0,2.5,2.3,1008
2015/9/6,23.8,46.5,1.9,0,1005
2015/9/7,23,19,2.3,0.2,1003.6
2015/9/8,20,65.5,2.2,0,1009.7
2015/9/9,22.4,156.5,2.7,0,1005.5
2015/9/10,21.8,50,2.1,0,1004.6
2015/9/11,23.9,0,2.8,9.3,1001.8
2015/9/12,24.7,0,2.8,9,1006.5
2015/9/13,24.4,0,3.7,3.4,1008.8
2015/9/14,22.9,0,3.1,3.2,1016.8
2015/9/15,22.3,0,2.5,6.2,1018.1
2015/9/16,21.1,4,2.3,0.3,1017.2
2015/9/17,17.9,74.5,2.6,0,1013.3
2015/9/18,20.6,5.5,1.7,0.3,1007.8
2015/9/19,24.1,0,2.3,8.3,1004.5
2015/9/20,23.3,0,2.5,7.4,1006.6
2015/9/21,22.7,0,2.1,4.8,1010.5
2015/9/22,23,0,2.3,10.7,1014.7
2015/9/23,22.4,0,2.4,9.1,1014
2015/9/24,20.4,1,2,0.9,1009.9
2015/9/25,17.7,43,2.5,0,1004.8
2015/9/26,20.5,5,1.8,0.6,1006.4
2015/9/27,21.4,0,1.6,0.8,1009
2015/9/28,23.3,0,2.5,9.2,1012.4
2015/9/29,22.7,0,2.8,4.2,1015.7
2015/9/30,20.9,0,4.1,8.9,1018.8
2015/10/1,19.4,7.5,3.9,1.2,1011.1
2015/10/2,23.2,22,4.2,3.6,1002.1
2015/10/3,21.7,0,1.9,9.7,1011.5
2015/10/4,21.3,0,2.9,7.9,1016.8
2015/10/5,17.9,0,2.9,0.3,1020.3
2015/10/6,17.7,0,2.9,7.8,1016.5
2015/10/7,17.5,0,3.7,11.1,1009.3
2015/10/8,19.4,0,5.1,11.1,999.8
2015/10/9,20.2,0,3.7,9.7,1004.2
2015/10/10,18.3,0,2.5,0.7,1010.3
2015/10/11,18.9,15,2.3,0.1,1007.3
2015/10/12,18.7,0,2,7.3,1008.7
2015/10/13,18.8,0,2.2,10.1,1009.5
2015/10/14,18.4,0,2.3,6.7,1014.9
2015/10/15,18.8,0.5,2.4,8.3,1017.7
2015/10/16,15.6,7,2.6,0,1017.2
2015/10/17,17.5,5,2.2,0,1016.1
2015/10/18,18.8,0,1.8,5.7,1014.2
2015/10/19,19,0,2.2,9.9,1013.9
2015/10/20,19,0,1.9,6.9,1012.1
2015/10/21,17.2,0,2.4,3.2,1016.4
2015/10/22,17.4,0,2.4,7.2,1015.8
2015/10/23,17.9,0,2,0.8,1017.1
2015/10/24,19,0,2.3,7.6,1009.7
2015/10/25,16.1,0,5.7,10,1012.8
2015/10/26,15.5,0,3.1,9.5,1018.1
2015/10/27,18.3,0,4.1,9.4,1012.4
2015/10/28,20.8,0,2.7,7.6,1006.3
2015/10/29,17.1,0,2.3,0.7,1013.6
2015/10/30,17.1,0,2.3,6.1,1014.6
2015/10/31,14.4,0,2.6,1.1,1019.9
2015/11/1,13.1,0,1.7,8.6,1023
2015/11/2,12.7,38,2.6,0,1015
2015/11/3,16.2,0,2.6,8.7,1019.8
2015/11/4,14.4,0,2,9.8,1028.3
2015/11/5,15.1,0,2,8.2,1024.7
2015/11/6,16.4,0,2,9.6,1022.2
2015/11/7,16.5,0,2.3,2.1,1024.8
2015/11/8,15.2,14,1.5,0,1019.2
2015/11/9,18.2,1,2.3,0,1007.9
2015/11/10,16.5,7.5,2.1,0,1011.5
2015/11/11,14.9,0,2.2,6.1,1023.3
2015/11/12,13.4,0,2.8,1.4,1028.6
2015/11/13,13.1,0,2.3,2,1027.6
2015/11/14,13,17.5,2.5,0,1019.9
2015/11/15,16,8.5,1.8,2.3,1009.2
2015/11/16,17.2,0,2.4,6,1017.4
2015/11/17,18.5,3,1.8,3.8,1015.2
2015/11/18,16.7,13,2.2,2.5,1013.3
2015/11/19,14.5,7,2.8,6,1015.2
2015/11/20,13.7,0,1.7,0,1018
2015/11/21,15.5,0,2.3,6.1,1020.5
2015/11/22,13.1,0,2,0,1025.8
2015/11/23,12.2,0.5,2.6,0,1022.1
2015/11/24,14.3,2,2.5,6.7,1011.9
2015/11/25,8.7,7,3,0,1015.1
2015/11/26,8.7,20.5,2.9,0.1,1005.1
2015/11/27,9.9,0,2.7,9.2,1006.8
2015/11/28,9.4,0,1.7,9.2,1017.4
2015/11/29,10.4,0,2,7.1,1021.9
2015/11/30,10,0,1.9,4.6,1018.7
2015/12/1,10.8,0,2,9,1019.4
2015/12/2,9.5,1,2,0,1021.1
2015/12/3,10.5,1.5,1.7,0.2,1000.8
2015/12/4,9.9,0,4.2,9,1002.3
2015/12/5,9.8,0,1.7,9,1010.3
2015/12/6,10.6,0,2.6,4.7,1019.7
2015/12/7,9.2,0,2.2,7.5,1024
2015/12/8,8,0,2.4,2.3,1025.6
2015/12/9,7.5,0,1.9,8.7,1029.9
2015/12/10,8.8,5.5,1.5,2.3,1024.2
2015/12/11,14.7,64,4.6,4.9,998.4
2015/12/12,12.6,0,2.7,5.1,1017.2
2015/12/13,10.2,1.5,2.3,0,1017.5
2015/12/14,11.6,0,2.5,0.8,1018.1
2015/12/15,11.5,0,1.7,0.4,1013.2
2015/12/16,12.9,0,1.8,8.3,1003.6
2015/12/17,10.1,0,3.2,1.4,1007.8
2015/12/18,7.8,0,3.2,8.9,1019.7
2015/12/19,7.1,0,3.3,9,1023.6
2015/12/20,6.9,0,1.7,8.9,1027.3
2015/12/21,8.8,0,1.6,1.5,1018.5
2015/12/22,11,0,3.4,8.9,1021.5
2015/12/23,6.8,4,2.4,0,1023.2
2015/12/24,10.3,5,2.3,3.9,1009.8
2015/12/25,10.9,0,3.2,6.5,1005.1
2015/12/26,8.5,0,2.3,7.6,1009.2
2015/12/27,7.3,0,3.3,3.7,1013.9
2015/12/28,6,0,2.4,7.9,1018.4
2015/12/29,6.3,0,2.5,8.8,1019.7
2015/12/30,7.2,0,2.3,7.6,1023
2015/12/31,6.6,0,2,5.2,1019.5
2016/1/1,7.5,0,2.6,9,1022.4
2016/1/2,7.3,0,1.9,7.5,1018.6
2016/1/3,9.3,0,1.4,8.3,1013.2
2016/1/4,9.2,0,1.6,8.9,1010.4
2016/1/5,10.9,0,1.8,8.4,1013.1
2016/1/6,8.9,0,1.9,0,1014
2016/1/7,8.7,0,2.5,4.8,1009.4
2016/1/8,6.8,0,1.8,8.7,1010.4
2016/1/9,7.3,0,2.1,8.9,1014.1
2016/1/10,7.9,0,2.2,9.1,1013.5
2016/1/11,7.1,0,2.2,3.3,1014.1
2016/1/12,3.4,0,2.1,0,1012
2016/1/13,4.3,0,1.7,8.7,1010.1
2016/1/14,6,0,2,9.1,1008.9
2016/1/15,5.6,0,2.5,8.1,1013.1
2016/1/16,6.5,0,1.9,9.1,1015.8
2016/1/17,5.8,3,2.1,3.1,1019
2016/1/18,2.8,67,3.7,1.4,995.9
2016/1/19,5.1,0,4,9.1,997.8
2016/1/20,4.1,0,4.3,9.2,1006.3
2016/1/21,5.4,0,3.1,7.4,1014.4
2016/1/22,5.8,0,3.1,8.1,1016.5
2016/1/23,3.9,0,2.5,0.2,1014.4
2016/1/24,3.3,0,3.6,9,1001.3
2016/1/25,2.9,0,2.9,9.6,1013.5
2016/1/26,3.8,0,2,8.6,1019.7
2016/1/27,6.3,0,2.2,9.4,1020.7
2016/1/28,7.8,0,1.9,9.4,1022.5
2016/1/29,5.4,9.5,2.6,0,1020.8
2016/1/30,3.3,5.5,2.3,0,1017.2
2016/1/31,6.1,0,1.7,5.1,1017.4
2016/2/1,4.7,0,2,0,1016.7
2016/2/2,6,0,3.2,8.5,1015.1
2016/2/3,5,0,2.5,7.1,1018.3
2016/2/4,5.1,0,2,5.9,1017
2016/2/5,7.5,0,2.2,9,1012.7
2016/2/6,6.7,0,2.6,1,1009.5
2016/2/7,5,0,3.1,8.9,1013
2016/2/8,4.4,0,2.1,5.5,1015.2
2016/2/9,6.6,0,3.4,8.6,1006.7
2016/2/10,6,0,5,9.9,1016.2
2016/2/11,6,0,2.8,9.9,1027.1
2016/2/12,7.2,0,2.1,2.4,1028.1
2016/2/13,14,0,3.6,4.6,1016.4
2016/2/14,18.5,12.5,5.8,4.4,996.2
2016/2/15,8.1,0.5,3,0.4,999.9
2016/2/16,5.6,0,3.1,9.4,1008.7
2016/2/17,6.2,0,2.9,8.5,1011.9
2016/2/18,6.2,0,2.6,6.8,1021.9
2016/2/19,9.7,0,2.1,9.3,1021.9
2016/2/20,8,40.5,2.3,0.6,1016.8
2016/2/21,9.5,0,3.2,3.8,1010.6
2016/2/22,6.7,1.5,2.8,0.5,1025.7
2016/2/23,6.7,0,1.6,0.1,1018.7
2016/2/24,5.8,0.5,3.1,0.1,1018.9
2016/2/25,3.8,0.5,2,2,1023.1
2016/2/26,5.8,0,2.8,10.5,1021.2
2016/2/27,7.8,0,4,10.5,1021.5
2016/2/28,8.7,0.5,3,9.8,1021.9
2016/2/29,8.3,0.5,2.9,2.1,1006.6
2016/3/1,5.2,0,4.5,10.9,1012.9
2016/3/2,6.3,0,2.5,8.7,1018.1
2016/3/3,9.2,0,1.9,10.8,1019
2016/3/4,10.4,0,2.8,9.7,1026.8
2016/3/5,10.7,0,2.3,2.6,1029.2
2016/3/6,13.2,2,3.2,3.1,1022.9
2016/3/7,14.1,31.5,1.9,0,1015.2
2016/3/8,15.8,0,2,8.1,1010.4
2016/3/9,8.7,21.5,3.5,0,1012.6
2016/3/10,6.1,0,2.8,0,1013.9
2016/3/11,4.6,0,2.4,0,1016
2016/3/12,5.8,0,2.4,1.4,1020.2
2016/3/13,6.7,0,2.2,0.1,1021.6
2016/3/14,5.7,37,2.7,0,1011.5
2016/3/15,8.1,0.5,4,11.4,1012.1
2016/3/16,8.7,0,1.9,2.4,1020
2016/3/17,13.1,0,2.1,11.4,1018.7
2016/3/18,14.8,2,4.3,7.6,1015.7
2016/3/19,14.9,7.5,2.9,1.9,1004.1
2016/3/20,13.4,0.5,3.6,5.2,1008.3
2016/3/21,9.5,0,2.6,4.5,1014.6
2016/3/22,11,0,3.1,8.8,1012.6
2016/3/23,11.5,0,2.9,5.9,1010.5
2016/3/24,6.3,0.5,2.7,1.5,1012.9
2016/3/25,8.1,0,2.9,9.2,1015.1
2016/3/26,8,0,2.7,6.2,1017.5
2016/3/27,10.4,0,2.3,5.2,1016.4
2016/3/28,11.3,0,2.4,2.8,1016
2016/3/29,13,0,3.3,9.8,1019.8
2016/3/30,14.9,0,3,3.6,1014.7
2016/3/31,14.9,0,3.4,9.1,1015.4
2016/4/1,12.8,2.5,3.4,4.3,1017.9
