îNåé,ïΩãœãCâ∑,ïiéøèÓïÒ,ãœéøî‘çÜ
2000/1,7.6,8,1
2000/2,6.0,8,1
2000/3,9.4,8,1
2000/4,14.5,8,1
2000/5,19.8,8,1
2000/6,22.5,8,1
2000/7,27.7,8,1
2000/8,28.3,8,1
2000/9,25.6,8,1
2000/10,18.8,8,1
2000/11,13.3,8,1
2000/12,8.8,8,1
2001/1,4.9,8,1
2001/2,6.6,8,1
2001/3,9.8,8,1
2001/4,15.7,8,1
2001/5,19.5,8,1
2001/6,23.1,8,1
2001/7,28.5,8,1
2001/8,26.4,8,1
2001/9,23.2,8,1
2001/10,18.7,8,1
2001/11,13.1,8,1
2001/12,8.4,8,1
2002/1,7.4,8,1
2002/2,7.9,8,1
2002/3,12.2,8,1
2002/4,16.1,8,1
2002/5,18.4,8,1
2002/6,21.6,8,1
2002/7,28.0,8,1
2002/8,28.0,8,1
2002/9,23.1,8,1
2002/10,19.0,8,1
2002/11,11.6,8,1
2002/12,7.2,8,1
2003/1,5.5,8,1
2003/2,6.4,8,1
2003/3,8.7,8,1
2003/4,15.1,8,1
2003/5,18.8,8,1
2003/6,23.2,8,1
2003/7,22.8,8,1
2003/8,26.0,8,1
2003/9,24.2,8,1
2003/10,17.8,8,1
2003/11,14.4,8,1
2003/12,9.2,8,1
2004/1,6.3,8,1
2004/2,8.5,8,1
2004/3,9.8,8,1
2004/4,16.4,8,1
2004/5,19.6,8,1
2004/6,23.7,8,1
2004/7,28.5,8,1
2004/8,27.2,8,1
2004/9,25.1,8,1
2004/10,17.5,8,1
2004/11,15.6,8,1
2004/12,9.9,8,1
2005/1,6.1,8,1
2005/2,6.2,8,1
2005/3,9.0,8,1
2005/4,15.1,8,1
2005/5,17.7,8,1
2005/6,23.2,8,1
2005/7,25.6,8,1
2005/8,28.1,8,1
2005/9,24.7,8,1
2005/10,19.2,8,1
2005/11,13.3,8,1
2005/12,6.4,8,1
2006/1,5.1,8,1
2006/2,6.7,8,1
2006/3,9.8,8,1
2006/4,13.6,8,1
2006/5,19.0,8,1
2006/6,22.5,8,1
2006/7,25.6,8,1
2006/8,27.5,8,1
2006/9,23.5,8,1
2006/10,19.5,8,1
2006/11,14.4,8,1
2006/12,9.5,8,1
2007/1,7.6,8,1
2007/2,8.6,8,1
2007/3,10.8,8,1
2007/4,13.7,8,1
2007/5,19.8,8,1
2007/6,23.2,8,1
2007/7,24.4,8,1
2007/8,29.0,8,1
2007/9,25.2,8,1
2007/10,19.0,8,1
2007/11,13.3,8,1
2007/12,9.0,8,1
2008/1,5.9,8,1
2008/2,5.5,8,1
2008/3,10.7,8,1
2008/4,14.7,8,1
2008/5,18.5,8,1
2008/6,21.3,8,1
2008/7,27.0,8,1
2008/8,26.8,8,1
2008/9,24.4,8,1
2008/10,19.4,8,1
2008/11,13.1,8,1
2008/12,9.8,8,1
2009/1,6.8,8,1
2009/2,7.8,8,1
2009/3,10.0,8,1
2009/4,15.7,8,1
2009/5,20.1,8,1
2009/6,22.5,8,1
2009/7,26.3,8,1
2009/8,26.6,8,1
2009/9,23.0,8,1
2009/10,19.0,8,1
2009/11,13.5,8,1
2009/12,9.0,8,1
2010/1,7.0,8,1
2010/2,6.5,8,1
2010/3,9.1,8,1
2010/4,12.4,8,1
2010/5,19.0,8,1
2010/6,23.6,8,1
2010/7,28.0,8,1
2010/8,29.6,8,1
2010/9,25.1,8,1
2010/10,18.9,8,1
2010/11,13.5,8,1
2010/12,9.9,8,1
2011/1,5.1,8,1
2011/2,7.0,8,1
2011/3,8.1,8,1
2011/4,14.5,8,1
2011/5,18.5,8,1
2011/6,22.8,8,1
2011/7,27.3,8,1
2011/8,27.5,8,1
2011/9,25.1,8,1
2011/10,19.5,8,1
2011/11,14.9,8,1
2011/12,7.5,8,1
2012/1,4.8,8,1
2012/2,5.4,8,1
2012/3,8.8,8,1
2012/4,14.5,8,1
2012/5,19.6,8,1
2012/6,21.4,8,1
2012/7,26.4,8,1
2012/8,29.1,8,1
2012/9,26.2,8,1
2012/10,19.4,8,1
2012/11,12.7,8,1
2012/12,7.3,8,1
2013/1,5.5,8,1
2013/2,6.2,8,1
2013/3,12.1,8,1
2013/4,15.2,8,1
2013/5,19.8,8,1
2013/6,22.9,8,1
2013/7,27.3,8,1
2013/8,29.2,8,1
2013/9,25.2,8,1
2013/10,19.8,8,1
2013/11,13.5,8,1
2013/12,8.3,8,1
2014/1,6.3,8,1
2014/2,5.9,8,1
2014/3,10.4,8,1
2014/4,15.0,8,1
2014/5,20.3,8,1
2014/6,23.4,8,1
2014/7,26.8,8,1
2014/8,27.7,8,1
2014/9,23.2,8,1
2014/10,19.1,8,1
2014/11,14.2,8,1
2014/12,6.7,8,2
2015/1,5.8,8,2
2015/2,5.7,8,2
2015/3,10.3,8,2
2015/4,14.5,8,2
2015/5,21.1,8,2
2015/6,22.1,8,2
2015/7,26.2,8,2
2015/8,26.7,8,2
2015/9,22.6,8,2
2015/10,18.4,8,2
2015/11,13.9,8,2
2015/12,9.3,8,2
2016/1,6.1,8,2
2016/2,7.2,8,2
2016/3,10.1,8,2
2016/4,15.4,8,2
2016/5,20.2,8,2
2016/6,22.4,8,2
2016/7,25.4,8,2
2016/8,27.1,8,2
2016/9,24.4,8,2
2016/10,18.7,8,2
2016/11,11.4,8,2
2016/12,8.9,8,2
2017/1,5.8,8,2
2017/2,6.9,8,2
2017/3,8.5,8,2
2017/4,14.7,8,2
2017/5,20.0,8,2
2017/6,22.0,8,2
2017/7,27.3,8,2
2017/8,26.4,8,2
2017/9,22.8,8,2
2017/10,16.8,8,2
2017/11,11.9,8,2
2017/12,6.6,8,2
2018/1,4.7,8,2
2018/2,5.4,8,2
2018/3,11.5,8,2
2018/4,17.0,8,2
2018/5,19.8,8,2
2018/6,22.4,8,2
2018/7,28.3,8,2
2018/8,28.1,8,2
2018/9,22.9,8,2
2018/10,19.1,8,2
2018/11,14.0,8,2
2018/12,8.3,8,2
2019/1,5.6,8,2
2019/2,7.2,8,2
2019/3,10.6,8,2
2019/4,13.6,8,2
2019/5,20.0,8,2
2019/6,21.8,8,2
2019/7,24.1,8,2
2019/8,28.4,8,2
2019/9,25.1,8,2
2019/10,19.4,8,2
2019/11,13.1,8,2
2019/12,8.5,8,2
2020/1,7.1,8,2
